UserId,degree,betweenness,closeness,eigenvector,pagerank,clustering,eccentricity
1,1.0,0.0,0.3348378408708338,0.013962443905999952,0.0004305701805668536,0.0,6.0
2,2.0,0.0,0.26445031375190553,0.0008765165184988862,0.0007408547418635745,1.0,6.0
3,2.0,0.0,0.3541895506560517,0.02686883770569315,0.000633497565951676,1.0,6.0
4,4.0,0.0,0.3368640910425181,0.01782232659902111,0.0009661006302908598,1.0,5.0
5,2.0,0.0,0.308118769620532,0.01516673623481194,0.0006373486653165703,1.0,7.0
6,2.0,0.0,0.3541895506560517,0.02686883770569315,0.000633497565951676,1.0,6.0
7,4.0,5.626597910160441,0.26848934587512596,0.001102179632395648,0.0011526272144780439,0.5,5.0
8,2.0,0.0,0.3268109063294097,0.018826682925757406,0.0006089291207840163,1.0,6.0
9,2.0,1.4539682539682544,0.2629927135973675,0.002341030493995209,0.0006227490009728559,0.0,6.0
10,2.0,0.0,0.3112774895327649,0.010404263613177934,0.0005815815506568184,1.0,6.0
11,2.0,0.0,0.3541895506560517,0.02686883770569315,0.000633497565951676,1.0,6.0
12,4.0,5.348461147053942,0.2917037085315779,0.009494575600892412,0.0009479015712569122,0.0,6.0
13,2.0,0.0,0.2928546657331492,0.012024013055857444,0.0006456232031928689,1.0,7.0
14,1.0,0.0,0.3348378408708338,0.013962443905999952,0.0004305701805668536,0.0,6.0
15,179.0,43714.556588083666,0.44385481231715174,0.3194595938802321,0.04273297296677025,0.031008725127110663,6.0
16,1.0,0.0,0.30740979868261087,0.012906393799693196,0.00042675787109697574,0.0,7.0
17,10.0,20.550927717894606,0.36946985206709815,0.059558645769168334,0.0020917568586986076,0.5777777777777777,6.0
18,2.0,7.499999999999999,0.23637703203726587,0.00037302617020204613,0.000867712712025518,0.0,6.0
19,49.0,18288.64112632589,0.3964400549182868,0.07130969538206765,0.011494506545026909,0.11139455782312925,4.0
20,3.0,61.4690476424361,0.3610818878580072,0.023802680568093783,0.0008066794041577651,0.6666666666666666,5.0
21,7.0,209.69914507078477,0.30670408289132844,0.006743648509274168,0.0017857890858334045,0.3333333333333333,5.0
22,5.0,204.65756111694057,0.3574111784576316,0.03594846015699098,0.0012680065577648503,0.5,6.0
23,27.0,1715.5495379465053,0.38523730826834685,0.09797878416787682,0.005735044074120894,0.22507122507122507,6.0
24,1.0,0.0,0.211727889869196,5.02747926963138e-05,0.0005013721153226819,0.0,7.0
25,1.0,0.0,0.28389353698993347,0.0028809655937877664,0.0004232238173979616,0.0,5.0
26,2.0,0.0,0.3152437435286991,0.02006675958194014,0.0006471839835009151,1.0,7.0
27,1.0,0.0,0.25821472459888417,0.0014980081330542995,0.0004108513483794356,0.0,6.0
28,2.0,0.0,0.31583994919021907,0.009149932881083392,0.0005840198960276073,1.0,5.0
29,2.0,0.0,0.3360168473527734,0.017311465195998854,0.0006133750721350887,1.0,6.0
30,73.0,15704.7508930198,0.44772217998479447,0.17608498770051734,0.015531359185959805,0.10235920852359208,5.0
31,2.0,0.0,0.3115678603252394,0.01451149987742847,0.0006084967029573223,1.0,6.0
32,2.0,9.949542124542127,0.2131466153597043,5.238931181937023e-05,0.0008691037566272156,0.0,7.0
33,6.0,9.237888152091461,0.35213573670917947,0.04040371694892663,0.001333320144071842,0.6666666666666666,6.0
34,4.0,0.0,0.3363552328989493,0.017667915419082587,0.0009650639994975635,1.0,5.0
35,1.0,0.0,0.3348378408708338,0.013962443905999952,0.0004305701805668536,0.0,6.0
36,5.0,328.4228119541277,0.2652905053762166,0.0010183340091976351,0.0016588418254983416,0.6,6.0
37,1.0,0.0,0.3348378408708338,0.013962443905999952,0.0004305701805668536,0.0,6.0
38,2.0,0.0,0.3290647746489228,0.022357072142281064,0.0006152555253200242,1.0,6.0
39,2.0,0.0,0.21520666641021696,9.47654479514744e-05,0.0008112713584694406,1.0,7.0
40,1.0,0.0,0.30740979868261087,0.012906393799693196,0.00042675787109697574,0.0,7.0
41,4.0,0.0,0.3599145972722594,0.04114730158825535,0.0009935552857224259,1.0,6.0
42,1.0,0.0,0.2888030663801614,0.007160365782246941,0.0004442565981160927,0.0,7.0
